year,sex,escenario,age,n,pop,deaths,mx,ax,qx,lx,dx,Lx,Tx,ex,homicides
2019,m,Observada,40,5,136134,813.933,0.00597891,2.5,0.02945429,90426,2663,445472,3218294,35.59,0
2019,m,Observada,45,5,130060,989.134,0.00760521,2.5,0.03731656,87763,3275,430626,2772822,31.59,0
2019,m,Observada,50,5,108767,1032.183,0.00948986,2.5,0.04634965,84488,3916,412649,2342196,27.72,0
2019,m,Observada,55,5,81408,1135.301,0.01394582,2.5,0.06737993,80572,5429,389286,1929547,23.95,0
2019,m,Observada,60,5,62568,1184.358,0.01892913,2.5,0.09036911,75143,6791,358738,1540261,20.5,0
2019,m,Observada,65,5,43131,1095.255,0.02539369,2.5,0.11938914,68352,8161,321360,1181523,17.29,0
2019,m,Observada,70,5,29638,1012.16,0.03415076,2.5,0.15732211,60192,9469,277285,860163,14.29,0
2019,m,Observada,75,5,18144,925.06,0.05098437,2.5,0.22610258,50722,11468,224940,582878,11.49,0
2019,m,Observada,80,5,10654,813.933,0.07639693,2.5,0.32072807,39254,12590,164795,357938,9.12,0
2019,m,Observada,85,,7513,1037.189,0.13805255,,1,26664,26664,193144,193144,7.24,0
2019,m,Sin homicidios,0,1,22882,281.865,0.01231822,0.07,0.0121787,1e+05,1218,98867,7306146,73.06,3
2019,m,Sin homicidios,1,1,25306,24.028,0.00094948,0.5,0.00094903,98782,94,98735,7207279,72.96,0
2019,m,Sin homicidios,2,1,28487,17.021,0.00059749,0.5,0.00059731,98688,59,98659,7108543,72.03,1
2019,m,Sin homicidios,3,1,29123,7.008,0.00024064,0.5,0.00024061,98629,24,98618,7009884,71.07,0
2019,m,Sin homicidios,4,1,29612,11.013,0.0003719,0.5,0.00037183,98606,37,98587,6911267,70.09,0
2019,m,Sin homicidios,5,5,152701,34.041,0.00022293,2.5,0.00111402,98569,110,492571,6812680,69.12,2
2019,m,Sin homicidios,10,5,159028,45.059,0.00028334,2.5,0.00141568,98459,139,491948,6320109,64.19,6
2019,m,Sin homicidios,15,5,160616,118.259,0.00073629,2.5,0.00367467,98320,361,490696,5828161,59.28,108
2019,m,Sin homicidios,20,5,171194,233.569,0.00136435,2.5,0.00679858,97959,666,488128,5337465,54.49,263
2019,m,Sin homicidios,25,5,163650,300.697,0.00183744,2.5,0.00914518,97293,890,484238,4849337,49.84,307
2019,m,Sin homicidios,30,5,150686,349.738,0.00232097,2.5,0.01153791,96403,1112,479233,4365099,45.28,294
2019,m,Sin homicidios,35,5,147206,393.736,0.00267472,2.5,0.01328479,95291,1266,473288,3885865,40.78,248
2019,m,Sin homicidios,40,5,136134,581.933,0.00427471,2.5,0.02114754,94025,1988,465152,3412578,36.29,232
2019,m,Sin homicidios,45,5,130060,819.134,0.00629812,2.5,0.03100247,92036,2853,453048,2947426,32.02,170
2019,m,Sin homicidios,50,5,108767,944.183,0.00868079,2.5,0.04248199,89183,3789,436443,2494378,27.97,88
2019,m,Sin homicidios,55,5,81408,1082.301,0.01329478,2.5,0.06433557,85394,5494,413236,2057935,24.1,53
2019,m,Sin homicidios,60,5,62568,1154.358,0.01844965,2.5,0.08818097,79900,7046,381887,1644699,20.58,30
2019,m,Sin homicidios,65,5,43131,1079.255,0.02502273,2.5,0.11774773,72855,8578,342827,1262811,17.33,16
2019,m,Sin homicidios,70,5,29638,1006.16,0.03394831,2.5,0.15646248,64276,10057,296239,919984,14.31,6
2019,m,Sin homicidios,75,5,18144,923.06,0.05087414,2.5,0.2256689,54219,12236,240508,623745,11.5,2
2019,m,Sin homicidios,80,5,10654,810.933,0.07611535,2.5,0.31973491,41984,13424,176360,383238,9.13,3
2019,m,Sin homicidios,85,,7513,1037.189,0.13805255,,1,28560,28560,206878,206878,7.24,0
