year,sex,age,n,pop,deaths,mx
2010,f,0,1,26749,354.568918970351,0.0132554083879902
2010,f,1,1,27338,31.1104443244788,0.00113799269604502
2010,f,2,1,29831,12.0427526417337,0.000403699260558939
2010,f,3,1,30160,23.081942563323,0.000765316397988163
2010,f,4,1,29915,16.0570035223117,0.000536754254464707
2010,f,5,5,149281,39.1389460856347,0.000262183037932722
2010,f,10,5,150006,33.1175697647678,0.000220774967433088
2010,f,15,5,147159,87.3099566525696,0.000593303546861351
2010,f,20,5,142015,111.395461936037,0.000784392225722896
2010,f,25,5,132038,102.363397454737,0.000775257103672708
2010,f,30,5,131268,122.434651857626,0.000932707528549425
2010,f,35,5,128815,172.61278786485,0.00134000533994372
2010,f,40,5,104483,219.780235711641,0.00210350234690467
2010,f,45,5,84374,272.969059879298,0.00323522720126221
2010,f,50,5,68779,308.414686079234,0.0044841403056054
2010,f,55,5,49774,369.311081013168,0.00741975893062981
2010,f,60,5,39205,435.546220542704,0.0111094559505855
2010,f,65,5,27568,500.777797352095,0.0181651841755693
2010,f,70,5,19850,495.759983751372,0.0249753140428903
2010,f,75,5,12872,576.04500136293,0.0447517869299977
2010,f,80,5,8192,594.109130325531,0.0725230871979408
2010,f,85,,6734,947.363207816387,0.140683577044311
2010,m,0,1,27708,462.418399996206,0.0166889851305113
2010,m,1,1,28325,33.4872676962887,0.00118225128671805
2010,m,2,1,30713,22.3248451308591,0.000726885850644974
2010,m,3,1,31140,22.3248451308591,0.000716918597651224
2010,m,4,1,31191,16.2362510042612,0.000520542816974807
2010,m,5,5,153879,38.5610961351203,0.000250593623139742
2010,m,10,5,155505,51.7530500760825,0.000332806341121395
2010,m,15,5,152129,208.026965992096,0.0013674379374879
2010,m,20,5,144748,352.123693654914,0.00243266707419041
2010,m,25,5,133714,461.718387933677,0.00345302951025081
2010,m,30,5,132961,551.017768457114,0.00414420595856766
2010,m,35,5,135402,617.992303849691,0.0045641298049489
2010,m,40,5,110864,637.272851917251,0.00574823975246474
2010,m,45,5,87145,634.228554853952,0.00727785363307077
2010,m,50,5,68291,663.332246188608,0.00971331868311502
2010,m,55,5,48407,726.572232440687,0.0150096521668496
2010,m,60,5,36274,695.114496119931,0.0191628851552057
2010,m,65,5,25170,682.937307866735,0.0271329879962946
2010,m,70,5,18012,699.173558870997,0.0388170974278812
2010,m,75,5,11256,673.804416676839,0.0598617996336922
2010,m,80,5,6598,592.623161655533,0.0898186058889865
2010,m,85,,4823,731.646060879519,0.151699369869276
2019,f,0,1,22606,243.585419103529,0.0107752552023148
2019,f,1,1,24429,21.0107232293518,0.000860072996412125
2019,f,2,1,27647,15.007659449537,0.00054283139036919
2019,f,3,1,28839,6.00306377981481,0.000208157834176456
2019,f,4,1,29198,4.00204251987654,0.000137065638738151
2019,f,5,5,147206,31.0158295290432,0.000210696775464609
2019,f,10,5,152820,30.015318899074,0.000196409625043018
2019,f,15,5,153810,77.0393185076234,0.000500873275519299
2019,f,20,5,164969,125.063828746142,0.000758105030315647
2019,f,25,5,159614,132.067403155926,0.000827417414236383
2019,f,30,5,148766,173.08833898466,0.00116349393668352
2019,f,35,5,142751,228.116423632963,0.00159800228112562
2019,f,40,5,132773,268.136848831728,0.00201951337118035
2019,f,45,5,122988,358.18280552895,0.0029123394601827
2019,f,50,5,105068,441.225187816388,0.0041994250182395
2019,f,55,5,80766,573.292590972314,0.0070981921968689
2019,f,60,5,65998,645.329356330092,0.00977801382360211
2019,f,65,5,47644,663.338547669536,0.0139228139465523
2019,f,70,5,33248,774.39522759611,0.0232914830244258
2019,f,75,5,21200,804.410546495184,0.037943893702603
2019,f,80,5,13596,794.405440195493,0.058429349823146
2019,f,85,,10881,1428.72917959592,0.131304951713622
2019,m,0,1,22882,284.865416723333,0.0124493233425108
2019,m,1,1,25306,24.0275407511518,0.000949479994908393
2019,m,2,1,28487,18.0206555633638,0.000632592254830758
2019,m,3,1,29123,7.00803271908594,0.000240635673491259
2019,m,4,1,29612,11.0126228442779,0.000371897299887812
2019,m,5,5,152701,36.0413111267277,0.00023602537721906
2019,m,10,5,159028,51.0585240961975,0.000321066253088749
2019,m,15,5,160616,226.259342073346,0.00140869740295703
2019,m,20,5,171194,496.569175523803,0.00290062254240104
2019,m,25,5,163650,607.69655149788,0.00371339169873437
2019,m,30,5,150686,643.737862624608,0.00427204825016663
2019,m,35,5,147206,641.735567562012,0.0043594389329376
2019,m,40,5,136134,813.932942945266,0.00597891006615001
2019,m,45,5,130060,989.133760922415,0.00760521114041531
2019,m,50,5,108767,1032.18310476823,0.00948985542276821
2019,m,55,5,81408,1135.30130049192,0.0139458198271905
2019,m,60,5,62568,1184.35752952552,0.0189291255837732
2019,m,65,5,43131,1095.25539924,0.0253936936134103
2019,m,70,5,29638,1012.16015414227,0.0341507576132759
2019,m,75,5,18144,925.060318919343,0.0509843650198051
2019,m,80,5,10654,813.932942945266,0.0763969347611476
2019,m,85,,7513,1037.18884242472,0.138052554562055
2021,f,0,1,21776,199.079552262201,0.00914215431035089
2021,f,1,1,23826,23.0091944825659,0.000965717891486859
2021,f,2,1,27183,5.00199880055781,0.00018401202224029
2021,f,3,1,28553,6.00239856066937,0.00021021954122752
2021,f,4,1,29041,10.0039976011156,0.000344478413316194
2021,f,5,5,146748,28.0111932831238,0.000190879557357673
2021,f,10,5,153453,45.0179892050203,0.000293366628251128
2021,f,15,5,155328,97.0387767308216,0.000624734605034647
2021,f,20,5,170554,149.059564256623,0.000873972842950755
2021,f,25,5,166486,172.068758739189,0.00103353290210101
2021,f,30,5,152960,238.095142906552,0.0015565843547761
2021,f,35,5,146048,273.109134510457,0.00186999571723308
2021,f,40,5,140035,363.406933477758,0.00259511503179747
2021,f,45,5,133730,542.504318081252,0.00405671366246356
2021,f,50,5,115441,677.270637595528,0.00586681194372474
2021,f,55,5,89939,787.3146112078,0.00875387330532694
2021,f,60,5,74096,1006.40215867223,0.0135824087490854
2021,f,65,5,53804,1090.4357385216,0.0202668154509256
2021,f,70,5,37286,1069.42734355926,0.0286817396223585
2021,f,75,5,23685,1118.44693180473,0.0472217408403939
2021,f,80,5,15216,1022.40855483402,0.0671929912482926
2021,f,85,,12105,1732.69238451323,0.143138569559127
2021,m,0,1,21929,247.396353046062,0.0112816978907411
2021,m,1,1,24680,18.0288840276483,0.000730505835804226
2021,m,2,1,28014,12.0192560184322,0.000429044621204833
2021,m,3,1,28693,8.01283734562145,0.00027926105132337
2021,m,4,1,29272,8.01283734562145,0.000273737269254627
2021,m,5,5,152440,37.0593727234992,0.000243107929175408
2021,m,10,5,159821,52.0834427465394,0.000325886102242755
2021,m,15,5,162566,221.354631672792,0.00136162931777119
2021,m,20,5,177698,564.905032866312,0.00317901739392853
